Samples,Plant,Year,Plot,Nitrogen,Days,Soil,fertilizer,Type,Nucelic
3054_M_2015_P30_N200_B_20180514_RNA_CABBI,Miscanthus,2015,30,200,5,Rizosphere,yes,2015_200_5,RNA
3055_M_2017_P33_N200_A_20180514_RNA_CABBI,Miscanthus,2017,33,200,5,Rizosphere,yes,2017_200_5,RNA
3056_M_2017_P33_N200_B_20180514_RNA_CABBI,Miscanthus,2017,33,200,5,Rizosphere,yes,2017_200_5,RNA
3057_M_2017_P34_N400_A_20180514_RNA_CABBI,Miscanthus,2017,34,400,5,Rizosphere,yes,2017_400_5,RNA
3058_M_2017_P34_N400_B_20180514_RNA_CABBI,Miscanthus,2017,34,400,5,Rizosphere,yes,2017_400_5,RNA
3059_M_2017_P35_N0_A_20180514_RNA_CABBI,Miscanthus,2017,35,0,5,Rizosphere,yes,2017_0_5,RNA
3060_M_2017_P35_N0_B_20180514_RNA_CABBI,Miscanthus,2017,35,0,5,Rizosphere,yes,2017_0_5,RNA
3061_M_2016_P37_N400_A_20180514_RNA_CABBI,Miscanthus,2016,37,400,5,Rizosphere,yes,2016_400_5,RNA
3062_M_2016_P37_N400_B_20180514_RNA_CABBI,Miscanthus,2016,37,400,5,Rizosphere,yes,2016_400_5,RNA
3063_M_2016_P39_N0_A_20180514_RNA_CABBI,Miscanthus,2016,39,0,5,Rizosphere,yes,2016_0_5,RNA
3064_M_2016_P39_N0_B_20180514_RNA_CABBI,Miscanthus,2016,39,0,5,Rizosphere,yes,2016_0_5,RNA
3065_M_2016_P40_N200_A_20180514_RNA_CABBI,Miscanthus,2016,40,200,5,Rizosphere,yes,2016_200_5,RNA
3066_M_2016_P40_N200_B_20180514_RNA_CABBI,Miscanthus,2016,40,200,5,Rizosphere,yes,2016_200_5,RNA
3067_M_2015_P43_N200_A_20180514_RNA_CABBI,Miscanthus,2015,43,200,5,Rizosphere,yes,2015_200_5,RNA
3068_M_2015_P43_N200_B_20180514_RNA_CABBI,Miscanthus,2015,43,200,5,Rizosphere,yes,2015_200_5,RNA
3069_M_2015_P44_N0_A_20180514_RNA_CABBI,Miscanthus,2015,44,0,5,Rizosphere,yes,2015_0_5,RNA
3070_M_2015_P44_N0_B_20180514_RNA_CABBI,Miscanthus,2015,44,0,5,Rizosphere,yes,2015_0_5,RNA
3071_M_2015_P45_N400_A_20180514_RNA_CABBI,Miscanthus,2015,45,400,5,Rizosphere,yes,2015_400_5,RNA
3072_M_2015_P45_N400_B_20180514_RNA_CABBI,Miscanthus,2015,45,400,5,Rizosphere,yes,2015_400_5,RNA
3073_C_2018_P33_N200_A_20180514_RNA_CABBI,Corn,2018,33,200,5,Rizosphere,yes,2018_200_5,RNA
3074_C_2018_P33_N200_B_20180514_RNA_CABBI,Corn,2018,33,200,5,Rizosphere,yes,2018_200_5,RNA
3075_C_2018_P34_N300_A_20180514_RNA_CABBI,Corn,2018,34,300,5,Rizosphere,yes,2018_300_5,RNA
3076_C_2018_P34_N300_B_20180514_RNA_CABBI,Corn,2018,34,300,5,Rizosphere,yes,2018_300_5,RNA
3077_C_2018_P35_N0_A_20180514_RNA_CABBI,Corn,2018,35,0,5,Rizosphere,yes,2018_0_5,RNA
3078_C_2018_P35_N0_B_20180514_RNA_CABBI,Corn,2018,35,0,5,Rizosphere,yes,2018_0_5,RNA
3079_C_2018_P37_N300_A_20180514_RNA_CABBI,Corn,2018,37,300,5,Rizosphere,yes,2018_300_5,RNA
3080_C_2018_P37_N300_B_20180514_RNA_CABBI,Corn,2018,37,300,5,Rizosphere,yes,2018_300_5,RNA
3081_C_2018_P39_N0_A_20180514_RNA_CABBI,Corn,2018,39,0,5,Rizosphere,yes,2018_0_5,RNA
3082_C_2018_P39_N0_B_20180514_RNA_CABBI,Corn,2018,39,0,5,Rizosphere,yes,2018_0_5,RNA
3083_C_2018_P40_N200_A_20180514_RNA_CABBI,Corn,2018,40,200,5,Rizosphere,yes,2018_200_5,RNA
3084_C_2018_P40_N200_B_20180514_RNA_CABBI,Corn,2018,40,200,5,Rizosphere,yes,2018_200_5,RNA
3085_C_2018_P43_N200_A_20180514_RNA_CABBI,Corn,2018,43,200,5,Rizosphere,yes,2018_200_5,RNA
3086_C_2018_P43_N200_B_20180514_RNA_CABBI,Corn,2018,43,200,5,Rizosphere,yes,2018_200_5,RNA
3087_C_2018_P44_N0_A_20180514_RNA_CABBI,Corn,2018,44,0,5,Rizosphere,yes,2018_0_5,RNA
3088_C_2018_P44_N0_B_20180514_RNA_CABBI,Corn,2018,44,0,5,Rizosphere,yes,2018_0_5,RNA
3089_C_2018_P45_N300_A_20180514_RNA_CABBI,Corn,2018,45,300,5,Rizosphere,yes,2018_300_5,RNA
3090_C_2018_P45_N300_B_20180514_RNA_CABBI,Corn,2018,45,300,5,Rizosphere,yes,2018_300_5,RNA
3091_M_2017_P46_N0_A_20180514_RNA_CABBI,Miscanthus,2017,46,0,5,Rizosphere,yes,2017_0_5,RNA
3092_M_2017_P46_N0_B_20180514_RNA_CABBI,Miscanthus,2017,46,0,5,Rizosphere,yes,2017_0_5,RNA
3093_M_2017_P48_N400_A_20180514_RNA_CABBI,Miscanthus,2017,48,400,5,Rizosphere,yes,2017_400_5,RNA
3094_M_2017_P48_N400_B_20180514_RNA_CABBI,Miscanthus,2017,48,400,5,Rizosphere,yes,2017_400_5,RNA
3095_M_2017_P50_N200_A_20180514_RNA_CABBI,Miscanthus,2017,50,200,5,Rizosphere,yes,2017_200_5,RNA
3096_M_2017_P50_N200_B_20180514_RNA_CABBI,Miscanthus,2017,50,200,5,Rizosphere,yes,2017_200_5,RNA
3097_M_2015_P53_N400_A_20180514_RNA_CABBI,Miscanthus,2015,53,400,5,Rizosphere,yes,2015_400_5,RNA
3098_M_2015_P53_N400_B_20180514_RNA_CABBI,Miscanthus,2015,53,400,5,Rizosphere,yes,2015_400_5,RNA
3099_M_2015_P54_N200_A_20180514_RNA_CABBI,Miscanthus,2015,54,200,5,Rizosphere,yes,2015_200_5,RNA
3100_M_2015_P54_N200_B_20180514_RNA_CABBI,Miscanthus,2015,54,200,5,Rizosphere,yes,2015_200_5,RNA
3101_M_2015_P55_N0_A_20180514_RNA_CABBI,Miscanthus,2015,55,0,5,Rizosphere,yes,2015_0_5,RNA
3102_M_2015_P55_N0_B_20180514_RNA_CABBI,Miscanthus,2015,55,0,5,Rizosphere,yes,2015_0_5,RNA
3103_M_2016_P56_N0_A_20180514_RNA_CABBI,Miscanthus,2016,56,0,5,Rizosphere,yes,2016_0_5,RNA
3104_M_2016_P56_N0_B_20180514_RNA_CABBI,Miscanthus,2016,56,0,5,Rizosphere,yes,2016_0_5,RNA
3105_M_2016_P58_N400_A_20180514_RNA_CABBI,Miscanthus,2016,58,400,5,Rizosphere,yes,2016_400_5,RNA
3106_M_2016_P58_N400_B_20180514_RNA_CABBI,Miscanthus,2016,58,400,5,Rizosphere,yes,2016_400_5,RNA
3107_M_2016_P60_N200_A_20180514_RNA_CABBI,Miscanthus,2016,60,200,5,Rizosphere,yes,2016_200_5,RNA
3108_M_2016_P60_N200_B_20180514_RNA_CABBI,Miscanthus,2016,60,200,5,Rizosphere,yes,2016_200_5,RNA
4001_C_2018_P3_N300_A_20180530_RNA_CABBI,Corn,2018,3,300,21,Rizosphere,yes,2018_300_21,RNA
4002_C_2018_P3_N300_B_20180530_RNA_CABBI,Corn,2018,3,300,21,Rizosphere,yes,2018_300_21,RNA
4003_C_2018_P4_N0_A_20180530_RNA_CABBI,Corn,2018,4,0,21,Rizosphere,yes,2018_0_21,RNA
4004_C_2018_P4_N0_B_20180530_RNA_CABBI,Corn,2018,4,0,21,Rizosphere,yes,2018_0_21,RNA
4005_C_2018_P5_N200_A_20180530_RNA_CABBI,Corn,2018,5,200,21,Rizosphere,yes,2018_200_21,RNA
4006_C_2018_P5_N200_B_20180530_RNA_CABBI,Corn,2018,5,200,21,Rizosphere,yes,2018_200_21,RNA
4007_C_2018_P6_N300_A_20180530_RNA_CABBI,Corn,2018,6,300,21,Rizosphere,yes,2018_300_21,RNA
4008_C_2018_P6_N300_B_20180530_RNA_CABBI,Corn,2018,6,300,21,Rizosphere,yes,2018_300_21,RNA
4009_C_2018_P7_N0_A_20180530_RNA_CABBI,Corn,2018,7,0,21,Rizosphere,yes,2018_0_21,RNA
4010_C_2018_P7_N0_B_20180530_RNA_CABBI,Corn,2018,7,0,21,Rizosphere,yes,2018_0_21,RNA
4011_C_2018_P9_N200_A_20180530_RNA_CABBI,Corn,2018,9,200,21,Rizosphere,yes,2018_200_21,RNA
4012_C_2018_P9_N200_B_20180530_RNA_CABBI,Corn,2018,9,200,21,Rizosphere,yes,2018_200_21,RNA
4013_C_2018_P12_N200_A_20180530_RNA_CABBI,Corn,2018,12,200,21,Rizosphere,yes,2018_200_21,RNA
4014_C_2018_P12_N200_B_20180530_RNA_CABBI,Corn,2018,12,200,21,Rizosphere,yes,2018_200_21,RNA
4015_C_2018_P13_N300_A_20180530_RNA_CABBI,Corn,2018,13,300,21,Rizosphere,yes,2018_300_21,RNA
4016_C_2018_P13_N300_B_20180530_RNA_CABBI,Corn,2018,13,300,21,Rizosphere,yes,2018_300_21,RNA
4017_C_2018_P14_N0_A_20180530_RNA_CABBI,Corn,2018,14,0,21,Rizosphere,yes,2018_0_21,RNA
4018_C_2018_P14_N0_B_20180530_RNA_CABBI,Corn,2018,14,0,21,Rizosphere,yes,2018_0_21,RNA
4019_M_2015_P3_N400_A_20180530_RNA_CABBI,Miscanthus,2015,3,400,21,Rizosphere,yes,2015_400_21,RNA
4020_M_2015_P3_N400_B_20180530_RNA_CABBI,Miscanthus,2015,3,400,21,Rizosphere,yes,2015_400_21,RNA
4021_M_2015_P4_N0_A_20180530_RNA_CABBI,Miscanthus,2015,4,0,21,Rizosphere,yes,2015_0_21,RNA
4022_M_2015_P4_N0_B_20180530_RNA_CABBI,Miscanthus,2015,4,0,21,Rizosphere,yes,2015_0_21,RNA
4023_M_2015_P5_N200_A_20180530_RNA_CABBI,Miscanthus,2015,5,200,21,Rizosphere,yes,2015_200_21,RNA
4024_M_2015_P5_N200_B_20180530_RNA_CABBI,Miscanthus,2015,5,200,21,Rizosphere,yes,2015_200_21,RNA
4025_M_2016_P6_N400_A_20180530_RNA_CABBI,Miscanthus,2016,6,400,21,Rizosphere,yes,2016_400_21,RNA
4026_M_2016_P6_N400_B_20180530_RNA_CABBI,Miscanthus,2016,6,400,21,Rizosphere,yes,2016_400_21,RNA
4027_M_2016_P7_N0_A_20180530_RNA_CABBI,Miscanthus,2016,7,0,21,Rizosphere,yes,2016_0_21,RNA
4028_M_2016_P7_N0_B_20180530_RNA_CABBI,Miscanthus,2016,7,0,21,Rizosphere,yes,2016_0_21,RNA
4029_M_2016_P9_N200_A_20180530_RNA_CABBI,Miscanthus,2016,9,200,21,Rizosphere,yes,2016_200_21,RNA
4030_M_2016_P9_N200_B_20180530_RNA_CABBI,Miscanthus,2016,9,200,21,Rizosphere,yes,2016_200_21,RNA
4031_M_2017_P12_N200_A_20180530_RNA_CABBI,Miscanthus,2017,12,200,21,Rizosphere,yes,2017_200_21,RNA
4032_M_2017_P12_N200_B_20180530_RNA_CABBI,Miscanthus,2017,12,200,21,Rizosphere,yes,2017_200_21,RNA
4033_M_2017_P13_N400_A_20180530_RNA_CABBI,Miscanthus,2017,13,400,21,Rizosphere,yes,2017_400_21,RNA
4034_M_2017_P13_N400_B_20180530_RNA_CABBI,Miscanthus,2017,13,400,21,Rizosphere,yes,2017_400_21,RNA
4035_M_2017_P14_N0_A_20180530_RNA_CABBI,Miscanthus,2017,14,0,21,Rizosphere,yes,2017_0_21,RNA
4036_M_2017_P14_N0_B_20180530_RNA_CABBI,Miscanthus,2017,14,0,21,Rizosphere,yes,2017_0_21,RNA
4037_M_2016_P17_N400_A_20180530_RNA_CABBI,Miscanthus,2016,17,400,21,Rizosphere,yes,2016_400_21,RNA
4038_M_2016_P17_N400_B_20180530_RNA_CABBI,Miscanthus,2016,17,400,21,Rizosphere,yes,2016_400_21,RNA
4039_M_2016_P18_N200_A_20180530_RNA_CABBI,Miscanthus,2016,18,200,21,Rizosphere,yes,2016_200_21,RNA
4040_M_2016_P18_N200_B_20180530_RNA_CABBI,Miscanthus,2016,18,200,21,Rizosphere,yes,2016_200_21,RNA
4041_M_2016_P19_N0_A_20180530_RNA_CABBI,Miscanthus,2016,19,0,21,Rizosphere,yes,2016_0_21,RNA
4042_M_2016_P19_N0_B_20180530_RNA_CABBI,Miscanthus,2016,19,0,21,Rizosphere,yes,2016_0_21,RNA
4043_M_2017_P22_N400_A_20180530_RNA_CABBI,Miscanthus,2017,22,400,21,Rizosphere,yes,2017_400_21,RNA
4044_M_2017_P22_N400_B_20180530_RNA_CABBI,Miscanthus,2017,22,400,21,Rizosphere,yes,2017_400_21,RNA
4045_M_2017_P24_N0_A_20180530_RNA_CABBI,Miscanthus,2017,24,0,21,Rizosphere,yes,2017_0_21,RNA
4046_M_2017_P24_N0_B_20180530_RNA_CABBI,Miscanthus,2017,24,0,21,Rizosphere,yes,2017_0_21,RNA
4047_M_2017_P25_N200_A_20180530_RNA_CABBI,Miscanthus,2017,25,200,21,Rizosphere,yes,2017_200_21,RNA
4048_M_2017_P25_N200_B_20180530_RNA_CABBI,Miscanthus,2017,25,200,21,Rizosphere,yes,2017_200_21,RNA
4049_M_2015_P27_N400_A_20180530_RNA_CABBI,Miscanthus,2015,27,400,21,Rizosphere,yes,2015_400_21,RNA
4050_M_2015_P27_N400_B_20180530_RNA_CABBI,Miscanthus,2015,27,400,21,Rizosphere,yes,2015_400_21,RNA
4051_M_2015_P28_N0_A_20180530_RNA_CABBI,Miscanthus,2015,28,0,21,Rizosphere,yes,2015_0_21,RNA
4052_M_2015_P28_N0_B_20180530_RNA_CABBI,Miscanthus,2015,28,0,21,Rizosphere,yes,2015_0_21,RNA
4053_M_2015_P30_N200_A_20180530_RNA_CABBI,Miscanthus,2015,30,200,21,Rizosphere,yes,2015_200_21,RNA
4054_M_2015_P30_N200_B_20180530_RNA_CABBI,Miscanthus,2015,30,200,21,Rizosphere,yes,2015_200_21,RNA
4055_M_2017_P33_N200_A_20180530_RNA_CABBI,Miscanthus,2017,33,200,21,Rizosphere,yes,2017_200_21,RNA
4056_M_2017_P33_N200_B_20180530_RNA_CABBI,Miscanthus,2017,33,200,21,Rizosphere,yes,2017_200_21,RNA
4057_M_2017_P34_N400_A_20180530_RNA_CABBI,Miscanthus,2017,34,400,21,Rizosphere,yes,2017_400_21,RNA
4058_M_2017_P34_N400_B_20180530_RNA_CABBI,Miscanthus,2017,34,400,21,Rizosphere,yes,2017_400_21,RNA
4059_M_2017_P35_N0_A_20180530_RNA_CABBI,Miscanthus,2017,35,0,21,Rizosphere,yes,2017_0_21,RNA
4060_M_2017_P35_N0_B_20180530_RNA_CABBI,Miscanthus,2017,35,0,21,Rizosphere,yes,2017_0_21,RNA
4061_M_2016_P37_N400_A_20180530_RNA_CABBI,Miscanthus,2016,37,400,21,Rizosphere,yes,2016_400_21,RNA
4062_M_2016_P37_N400_B_20180530_RNA_CABBI,Miscanthus,2016,37,400,21,Rizosphere,yes,2016_400_21,RNA
4063_M_2016_P39_N0_A_20180530_RNA_CABBI,Miscanthus,2016,39,0,21,Rizosphere,yes,2016_0_21,RNA
4064_M_2016_P39_N0_B_20180530_RNA_CABBI,Miscanthus,2016,39,0,21,Rizosphere,yes,2016_0_21,RNA
4065_M_2016_P40_N200_A_20180530_RNA_CABBI,Miscanthus,2016,40,200,21,Rizosphere,yes,2016_200_21,RNA
4066_M_2016_P40_N200_B_20180530_RNA_CABBI,Miscanthus,2016,40,200,21,Rizosphere,yes,2016_200_21,RNA
4067_M_2015_P43_N200_A_20180530_RNA_CABBI,Miscanthus,2015,43,200,21,Rizosphere,yes,2015_200_21,RNA
4068_M_2015_P43_N200_B_20180530_RNA_CABBI,Miscanthus,2015,43,200,21,Rizosphere,yes,2015_200_21,RNA
4069_M_2015_P44_N0_A_20180530_RNA_CABBI,Miscanthus,2015,44,0,21,Rizosphere,yes,2015_0_21,RNA
4070_M_2015_P44_N0_B_20180530_RNA_CABBI,Miscanthus,2015,44,0,21,Rizosphere,yes,2015_0_21,RNA
4071_M_2015_P45_N400_A_20180530_RNA_CABBI,Miscanthus,2015,45,400,21,Rizosphere,yes,2015_400_21,RNA
4072_M_2015_P45_N400_B_20180530_RNA_CABBI,Miscanthus,2015,45,400,21,Rizosphere,yes,2015_400_21,RNA
4073_C_2018_P33_N200_A_20180530_RNA_CABBI,Corn,2018,33,200,21,Rizosphere,yes,2018_200_21,RNA
4074_C_2018_P33_N200_B_20180530_RNA_CABBI,Corn,2018,33,200,21,Rizosphere,yes,2018_200_21,RNA
4075_C_2018_P34_N300_A_20180530_RNA_CABBI,Corn,2018,34,300,21,Rizosphere,yes,2018_300_21,RNA
4076_C_2018_P34_N300_B_20180530_RNA_CABBI,Corn,2018,34,300,21,Rizosphere,yes,2018_300_21,RNA
4077_C_2018_P35_N0_A_20180530_RNA_CABBI,Corn,2018,35,0,21,Rizosphere,yes,2018_0_21,RNA
4078_C_2018_P35_N0_B_20180530_RNA_CABBI,Corn,2018,35,0,21,Rizosphere,yes,2018_0_21,RNA
4079_C_2018_P37_N300_A_20180530_RNA_CABBI,Corn,2018,37,300,21,Rizosphere,yes,2018_300_21,RNA
4080_C_2018_P37_N300_B_20180530_RNA_CABBI,Corn,2018,37,300,21,Rizosphere,yes,2018_300_21,RNA
4081_C_2018_P39_N0_A_20180530_RNA_CABBI,Corn,2018,39,0,21,Rizosphere,yes,2018_0_21,RNA
4082_C_2018_P39_N0_B_20180530_RNA_CABBI,Corn,2018,39,0,21,Rizosphere,yes,2018_0_21,RNA
4083_C_2018_P40_N200_A_20180530_RNA_CABBI,Corn,2018,40,200,21,Rizosphere,yes,2018_200_21,RNA
4084_C_2018_P40_N200_B_20180530_RNA_CABBI,Corn,2018,40,200,21,Rizosphere,yes,2018_200_21,RNA
4085_C_2018_P43_N200_A_20180530_RNA_CABBI,Corn,2018,43,200,21,Rizosphere,yes,2018_200_21,RNA
4086_C_2018_P43_N200_B_20180530_RNA_CABBI,Corn,2018,43,200,21,Rizosphere,yes,2018_200_21,RNA
4087_C_2018_P44_N0_A_20180530_RNA_CABBI,Corn,2018,44,0,21,Rizosphere,yes,2018_0_21,RNA
4088_C_2018_P44_N0_B_20180530_RNA_CABBI,Corn,2018,44,0,21,Rizosphere,yes,2018_0_21,RNA
4089_C_2018_P45_N300_A_20180530_RNA_CABBI,Corn,2018,45,300,21,Rizosphere,yes,2018_300_21,RNA
4090_C_2018_P45_N300_B_20180530_RNA_CABBI,Corn,2018,45,300,21,Rizosphere,yes,2018_300_21,RNA
4091_M_2017_P46_N0_A_20180530_RNA_CABBI,Miscanthus,2017,46,0,21,Rizosphere,yes,2017_0_21,RNA
4092_M_2017_P46_N0_B_20180530_RNA_CABBI,Miscanthus,2017,46,0,21,Rizosphere,yes,2017_0_21,RNA
4093_M_2017_P48_N400_A_20180530_RNA_CABBI,Miscanthus,2017,48,400,21,Rizosphere,yes,2017_400_21,RNA
4094_M_2017_P48_N400_B_20180530_RNA_CABBI,Miscanthus,2017,48,400,21,Rizosphere,yes,2017_400_21,RNA
4095_M_2017_P50_N200_A_20180530_RNA_CABBI,Miscanthus,2017,50,200,21,Rizosphere,yes,2017_200_21,RNA
4096_M_2017_P50_N200_B_20180530_RNA_CABBI,Miscanthus,2017,50,200,21,Rizosphere,yes,2017_200_21,RNA
4097_M_2015_P53_N400_A_20180530_RNA_CABBI,Miscanthus,2015,53,400,21,Rizosphere,yes,2015_400_21,RNA
4098_M_2015_P53_N400_B_20180530_RNA_CABBI,Miscanthus,2015,53,400,21,Rizosphere,yes,2015_400_21,RNA
4099_M_2015_P54_N200_A_20180530_RNA_CABBI,Miscanthus,2015,54,200,21,Rizosphere,yes,2015_200_21,RNA
4100_M_2015_P54_N200_B_20180530_RNA_CABBI,Miscanthus,2015,54,200,21,Rizosphere,yes,2015_200_21,RNA
4101_M_2015_P55_N0_A_20180530_RNA_CABBI,Miscanthus,2015,55,0,21,Rizosphere,yes,2015_0_21,RNA
4102_M_2015_P55_N0_B_20180530_RNA_CABBI,Miscanthus,2015,55,0,21,Rizosphere,yes,2015_0_21,RNA
4103_M_2016_P56_N0_A_20180530_RNA_CABBI,Miscanthus,2016,56,0,21,Rizosphere,yes,2016_0_21,RNA
4104_M_2016_P56_N0_B_20180530_RNA_CABBI,Miscanthus,2016,56,0,21,Rizosphere,yes,2016_0_21,RNA
4105_M_2016_P58_N400_A_20180530_RNA_CABBI,Miscanthus,2016,58,400,21,Rizosphere,yes,2016_400_21,RNA
4106_M_2016_P58_N400_B_20180530_RNA_CABBI,Miscanthus,2016,58,400,21,Rizosphere,yes,2016_400_21,RNA
4107_M_2016_P60_N200_A_20180530_RNA_CABBI,Miscanthus,2016,60,200,21,Rizosphere,yes,2016_200_21,RNA
4108_M_2016_P60_N200_B_20180530_RNA_CABBI,Miscanthus,2016,60,200,21,Rizosphere,yes,2016_200_21,RNA
5001_C_2018_P3_N300_A_20180703_RNA_CABBI,Corn,2018,3,300,69,Rizosphere,yes,2018_300_69,RNA
5002_C_2018_P3_N300_B_20180703_RNA_CABBI,Corn,2018,3,300,69,Rizosphere,yes,2018_300_69,RNA
5003_C_2018_P4_N0_A_20180703_RNA_CABBI,Corn,2018,4,0,69,Rizosphere,yes,2018_0_69,RNA
5004_C_2018_P4_N0_B_20180703_RNA_CABBI,Corn,2018,4,0,69,Rizosphere,yes,2018_0_69,RNA
5005_C_2018_P5_N200_A_20180703_RNA_CABBI,Corn,2018,5,200,69,Rizosphere,yes,2018_200_69,RNA
5006_C_2018_P5_N200_B_20180703_RNA_CABBI,Corn,2018,5,200,69,Rizosphere,yes,2018_200_69,RNA
5007_C_2018_P6_N300_A_20180703_RNA_CABBI,Corn,2018,6,300,69,Rizosphere,yes,2018_300_69,RNA
5008_C_2018_P6_N300_B_20180703_RNA_CABBI,Corn,2018,6,300,69,Rizosphere,yes,2018_300_69,RNA
5009_C_2018_P7_N0_A_20180703_RNA_CABBI,Corn,2018,7,0,69,Rizosphere,yes,2018_0_69,RNA
5010_C_2018_P7_N0_B_20180703_RNA_CABBI,Corn,2018,7,0,69,Rizosphere,yes,2018_0_69,RNA
5011_C_2018_P9_N200_A_20180703_RNA_CABBI,Corn,2018,9,200,69,Rizosphere,yes,2018_200_69,RNA
5012_C_2018_P9_N200_B_20180703_RNA_CABBI,Corn,2018,9,200,69,Rizosphere,yes,2018_200_69,RNA
5013_C_2018_P12_N200_A_20180703_RNA_CABBI,Corn,2018,12,200,69,Rizosphere,yes,2018_200_69,RNA
5015_C_2018_P13_N300_A_20180703_RNA_CABBI,Corn,2018,13,300,69,Rizosphere,yes,2018_300_69,RNA
5016_C_2018_P13_N300_B_20180703_RNA_CABBI,Corn,2018,13,300,69,Rizosphere,yes,2018_300_69,RNA
5017_C_2018_P14_N0_A_20180703_RNA_CABBI,Corn,2018,14,0,69,Rizosphere,yes,2018_0_69,RNA
5018_C_2018_P14_N0_B_20180703_RNA_CABBI,Corn,2018,14,0,69,Rizosphere,yes,2018_0_69,RNA
5019_M_2015_P3_N400_A_20180703_RNA_CABBI,Miscanthus,2015,3,400,69,Rizosphere,yes,2015_400_69,RNA
5020_M_2015_P3_N400_B_20180703_RNA_CABBI,Miscanthus,2015,3,400,69,Rizosphere,yes,2015_400_69,RNA
5021_M_2015_P4_N0_A_20180703_RNA_CABBI,Miscanthus,2015,4,0,69,Rizosphere,yes,2015_0_69,RNA
5022_M_2015_P4_N0_B_20180703_RNA_CABBI,Miscanthus,2015,4,0,69,Rizosphere,yes,2015_0_69,RNA
5023_M_2015_P5_N200_A_20180703_RNA_CABBI,Miscanthus,2015,5,200,69,Rizosphere,yes,2015_200_69,RNA
5024_M_2015_P5_N200_B_20180703_RNA_CABBI,Miscanthus,2015,5,200,69,Rizosphere,yes,2015_200_69,RNA
5025_M_2016_P6_N400_A_20180703_RNA_CABBI,Miscanthus,2016,6,400,69,Rizosphere,yes,2016_400_69,RNA
5026_M_2016_P6_N400_B_20180703_RNA_CABBI,Miscanthus,2016,6,400,69,Rizosphere,yes,2016_400_69,RNA
5027_M_2016_P7_N0_A_20180703_RNA_CABBI,Miscanthus,2016,7,0,69,Rizosphere,yes,2016_0_69,RNA
5028_M_2016_P7_N0_B_20180703_RNA_CABBI,Miscanthus,2016,7,0,69,Rizosphere,yes,2016_0_69,RNA
5029_M_2016_P9_N200_A_20180703_RNA_CABBI,Miscanthus,2016,9,200,69,Rizosphere,yes,2016_200_69,RNA
5030_M_2016_P9_N200_B_20180703_RNA_CABBI,Miscanthus,2016,9,200,69,Rizosphere,yes,2016_200_69,RNA
5031_M_2017_P12_N200_A_20180703_RNA_CABBI,Miscanthus,2017,12,200,69,Rizosphere,yes,2017_200_69,RNA
5032_M_2017_P12_N200_B_20180703_RNA_CABBI,Miscanthus,2017,12,200,69,Rizosphere,yes,2017_200_69,RNA
5033_M_2017_P13_N400_A_20180703_RNA_CABBI,Miscanthus,2017,13,400,69,Rizosphere,yes,2017_400_69,RNA
5034_M_2017_P13_N400_B_20180703_RNA_CABBI,Miscanthus,2017,13,400,69,Rizosphere,yes,2017_400_69,RNA
5035_M_2017_P14_N0_A_20180703_RNA_CABBI,Miscanthus,2017,14,0,69,Rizosphere,yes,2017_0_69,RNA
5036_M_2017_P14_N0_B_20180703_RNA_CABBI,Miscanthus,2017,14,0,69,Rizosphere,yes,2017_0_69,RNA
5037_M_2016_P17_N400_A_20180703_RNA_CABBI,Miscanthus,2016,17,400,69,Rizosphere,yes,2016_400_69,RNA
5038_M_2016_P17_N400_B_20180703_RNA_CABBI,Miscanthus,2016,17,400,69,Rizosphere,yes,2016_400_69,RNA
5039_M_2016_P18_N200_A_20180703_RNA_CABBI,Miscanthus,2016,18,200,69,Rizosphere,yes,2016_200_69,RNA
5040_M_2016_P18_N200_B_20180703_RNA_CABBI,Miscanthus,2016,18,200,69,Rizosphere,yes,2016_200_69,RNA
5041_M_2016_P19_N0_A_20180703_RNA_CABBI,Miscanthus,2016,19,0,69,Rizosphere,yes,2016_0_69,RNA
5042_M_2016_P19_N0_B_20180703_RNA_CABBI,Miscanthus,2016,19,0,69,Rizosphere,yes,2016_0_69,RNA
5043_M_2017_P22_N400_A_20180703_RNA_CABBI,Miscanthus,2017,22,400,69,Rizosphere,yes,2017_400_69,RNA
5044_M_2017_P22_N400_B_20180703_RNA_CABBI,Miscanthus,2017,22,400,69,Rizosphere,yes,2017_400_69,RNA
5045_M_2017_P24_N0_A_20180703_RNA_CABBI,Miscanthus,2017,24,0,69,Rizosphere,yes,2017_0_69,RNA
5046_M_2017_P24_N0_B_20180703_RNA_CABBI,Miscanthus,2017,24,0,69,Rizosphere,yes,2017_0_69,RNA
5047_M_2017_P25_N200_A_20180703_RNA_CABBI,Miscanthus,2017,25,200,69,Rizosphere,yes,2017_200_69,RNA
5048_M_2017_P25_N200_B_20180703_RNA_CABBI,Miscanthus,2017,25,200,69,Rizosphere,yes,2017_200_69,RNA
5049_M_2015_P27_N400_A_20180703_RNA_CABBI,Miscanthus,2015,27,400,69,Rizosphere,yes,2015_400_69,RNA
5050_M_2015_P27_N400_B_20180703_RNA_CABBI,Miscanthus,2015,27,400,69,Rizosphere,yes,2015_400_69,RNA
5051_M_2015_P28_N0_A_20180703_RNA_CABBI,Miscanthus,2015,28,0,69,Rizosphere,yes,2015_0_69,RNA
5052_M_2015_P28_N0_B_20180703_RNA_CABBI,Miscanthus,2015,28,0,69,Rizosphere,yes,2015_0_69,RNA
